"id","name","default_quota","created_at","updated_at"
"1","Cuti Tahunan","12","2022-01-14 10:47:53","2022-01-31 11:24:46"
"2","Cuti Alasan Penting","120","2022-01-14 10:47:53","2022-01-31 11:24:46"
"3","Cuti Bersalin","180","2022-01-14 10:47:53","2022-01-31 11:24:46"
"4","Cuti Sakit","548","2022-01-14 10:47:53","2022-01-31 11:24:46"
"5","Cuti Besar","180","2022-01-14 10:47:53","2022-01-31 11:24:46"
"6","Cuti Diluar Tanggungan","1460","2022-01-14 10:47:53","2022-01-31 11:24:46"
"7","Cuti Tugas Belajar","1460","2022-01-14 10:47:53","2022-01-31 11:24:46"
"8","Cuti Tugas Belajar Diluar Tanggungan","1460","2022-01-14 10:47:53","2022-01-31 11:24:46"
