id,name
229,SDN 3 Banawa Tengah
230,SDN 8 Banawa Tengah
231,SDN 9 Banawa Tengah
232,SMP Negeri 1 Banawa Tengah
233,SMP Negeri 2 Banawa Tengah
234,UPTD Kec. Banawa Tengah
235,SMPN Satap 3 Banawa Tengah
236,SDN 12 Banawa Tengah
237,SDN 11 Banawa Tengah
238,SDN 13 Banawa Tengah
239,SMPN SATAP 4 BANAWA TENGAH
240,UPTD Kec. Banawa Selatan
241,SDN 2 Banawa Selatan
242,SDN 1 Banawa Selatan
243,SD Negeri Tanahmea
244,SDN 4 Banawa Selatan
245,SDN 6 Banawa Selatan
246,SDN 3 Banawa Selatan
247,SDN 8 Banawa Selatan
248,SDN 17 Banawa Selatan
249,SDN 13 Banawa Selatan
250,SDN 27 Banawa Selatan
251,SDN 18 Banawa Selatan
252,SDN 19 Banawa Selatan
253,SDN 16 Banawa Selatan
254,SDN 15 Banawa Selatan
255,SDN 14 Banawa Selatan
256,SDN 20 Banawa Selatan
257,SDN 23 Banawa Selatan
258,SDN 28 Banawa Selatan
259,SDN 24 Banawa Selatan
260,SDN 10 Banawa Selatan
261,SDN 9 Banawa Selatan
262,SDN 7 Banawa Selatan
263,SDN 12 Banawa Selatan
264,SDN 29 Banawa Selatan
265,SDN 5 Banawa Selatan
266,SMP Negeri 1 Banawa Selatan
267,SMP Negeri 2 Banawa Selatan
268,SDN 25 Banawa Selatan
269,SDN 11 Banawa Selatan
270,SDN 21 Banawa Selatan
271,SMPN Satap 3 Banawa Selatan
272,SDN 22 Banawa Selatan
273,SMP Negeri 5 Banawa Selatan
274,SMPN Satap 5 Banawa Selatan
275,SMPN Satap 6 Banawa Selatan
276,SDN 3 Lumbumamara
277,SMPN Satap 8 Banawa Selatan
278,SDN 32 Banawa Selatan
279,SDN 30 Banawa Selatan
280,SDN 33 Banawa Selatan
281,SDN 31 Banawa Selatan
282,SDN 26 Banawa Selatan
283,TK Negeri Pembina Desa Watatu
284,SMPN Satap 4 Banawa Selatan
285,SDN 34 Banawa Selatan
286,SDN 35 Banawa Selatan
287,SMPN Satap 7 Banawa Selatan
288,SMPN Satap 9 Banawa Selatan
289,SMPN 10 Banawa Selatan
290,UPTD Kec. Rio Pakava
291,SDN 1 Rio Pakava
292,SDN 2 Rio Pakava
293,SDN 3 Rio Pakava
294,SDN 4 Rio Pakava
295,SDN 5 Rio Pakava
296,SDN 6 Rio Pakava
297,SDN 7 Rio Pakava
298,SDN 8 Rio Pakava
299,SDN 9 Rio Pakava
300,SDN 10 Rio Pakava
301,SDN 11 Rio Pakava
302,SDN 12 Rio Pakava
303,SMP Negeri 1 Rio Pakava
304,SMP Negeri 2 Rio Pakava
305,SMPN Satap 4 Rio Pakava
306,SMPN Satap 3 Rio Pakava
307,SDN Pombiu
308,SDN 14 Rio Pakava
309,SMP NGOVI KEC. RIO PAKAVA
310,SDN 13 Rio Pakava
311,SDN 15 Rio Pakava
312,SMPN Satap 5 Rio Pakava
313,SDN 21 Rio Pakava
314,SMPN 7 RIO PAKAVA
315,TK Negeri Pembina Desa Minti Makmur
316,SDN 16 Rio Pakava
317,SDN 18 Rio Pakava
318,SDN 19 Rio Pakava
319,SDN 20 Rio Pakava
320,SDN 25 Rio Pakava
321,SDN 26 Rio Pakava
322,SDN 22 Rio Pakava
323,SDN 23 Rio Pakava
324,SDN 24 Rio Pakava
325,SDN 27 Rio Pakava
326,SDN 1 Lalundu
327,SMP Negeri 3 Rio Pakava
328,SMPN Satap 6 Rio Pakava
329,SDN 17 RIO PAKAVA
330,UPTD Kec. Pinembani
331,SDN 2 Pinembani
332,SDN 3 Pinembani
333,SDN 4 Pinembani
334,SDN 5 Pinembani
335,SDN 1 Pinembani
336,SDN 6 Pinembani
337,SDN 7 Pinembani
338,SDN 8 Pinembani
339,SMP Negeri 1 Pinembani
340,SMPN 2 PINEMBANI
341,UPTD Kec. Tanantovea
342,SDN 1 Tanantovea
343,SDN 3 Tanantovea
344,SDN 7 Tanantovea
345,SDN 2 Tanantovea
346,SDN 9 Tanantovea
347,SDN 5 Tanantovea
348,SDN 6 Tanantovea
349,SDN 4 Tanantovea
350,SDN 11 Tanantovea
351,SD Inpres Wani
352,SDN 10 Tanantovea
353,SDN 12 Tanantovea
354,SDN 13 Tanantovea
355,SD Negeri Kecil Tawao
356,SMP Negeri 1 Tanantovea
357,SMPN Satap 3 Tanantovea
358,SMP Negeri 2 Tanantovea
359,SDN 8 Tanantovea
360,SDN 2 TIBO
361,SMP Negeri 4 Tanantovea
362,SDN 14 Tanantovea
363,SMP Negeri 3 Tanantovea
364,TK Negeri Pembina Desa Wani
365,UPTD Kec. Labuan
366,SDN 2 Labuan
367,SDN 1 Labuan
368,SDN 4 Labuan
369,SDN 3 Labuan
370,SDN 6 Labuan
371,SDN 5 Labuan
372,"SDN 7 Labuan "
373,SDN 13 Labuan
374,SDN 8 Labuan
375,SDN 10 Labuan
376,SDN 12 Labuan
377,SDN 11 Labuan
378,SDN 9 Labuan
379,SMP Negeri 1 Labuan
380,SMP Negeri 2 Labuan
381,Taman Kanak-Kanak (TK) Pembina Labuan
382,SMP Negeri 3 Labuan
383,SMPN Satap 4 Labuan
384,UPTD Kec. Sindue Tombusabora
385,SDN 3 Sindue Tombusabora
386,SDN 5 Sindue Tombusabora
387,SDN 4 Sindue Tombusabora
388,SDN 2 Sindue Tombusabora
389,SDN 7 Sindue Tombusabora
390,SDN 1 Sindue Tombusabora
391,SDN 6 Sindue Tombusabora
392,SDN 9 Sindue Tombusabora
393,SDN 8 Sindue Tombusabora
394,SDN 10 Sindue Tombusabora
395,SDN 11 Sindue Tombusabora
396,SDN 12 Sindue Tombusabora
397,SMP Negeri 1 Sindue Tombusabora
398,SMP Negeri 2 Sindue Tombusabora
399,SMPN Satap 3 Sindue Tombusabora
400,SDN 13 Sindue Tombusabora
401,SDN 15 Sindue Tombusabora
402,SDN 14 Sindue Tombusabora
403,SDN 16 Sindue Tombusabora
404,TK Negeri Pembina Desa Tibo
405,SMPN SATAP 4 Sindue Tombusabora
406,UPTD Kec. Sindue Tobata
407,SDN 8 Sindue Tobata
408,SDN 1 Sindue Tobata
409,SDN 3 Sindue Tobata
410,SDN 4 Sindue Tobata
411,SDN 7 Sindue Tobata
412,SDN 5 Sindue Tobata
413,SDN 2 Sindue Tobata
414,SDN 6 Sindue Tobata
415,SDN 9 Sindue Tobata
416,SDN 10 Sindue Tobata
417,SMP Negeri 1 Sindue Tobata
418,SMP Negeri 2 Sindue Tobata
419,SDN 11 Sindue Tobata
420,SDN 13 Sindue Tobata
421,SDN 12 Sindue Tobata
422,TK Negeri Pembina Desa Oti
423,SMPN Satap 4 Sindue Tobata
424,SMP Negeri 4 Sindue Tobata
425,SMPN Satap 3 Sindue Tobata
426,UPTD Kec. Sindue
427,SDN 5 Sindue
428,SDN 9 Sindue
429,SDN 14 Sindue
430,SDN 2 Sindue
431,SDN 7 Sindue
432,SDN 1 Sindue
433,SDN 6 Sindue
434,SDN 4 Sindue
435,SDN 8 Sindue
436,SDN 3 Sindue
437,SDN 10 Sindue
438,SDN 11 Sindue
439,SDN 13 Sindue
440,SDN 22 Sindue
441,SDN 12 Sindue
442,SDN 15 Sindue
443,SDN 16 Sindue
444,SDN 17 Sindue
445,SDN 19 Sindue
446,SDN 18 Sindue
447,SDN 20 Sindue
448,SDN 21 Sindue
449,SMP Negeri 1 Sindue
450,SMP Negeri 2 Sindue
451,SMP Negeri 3 Sindue
452,SMP Negeri 4 Sindue
453,SMP Negeri 5 Sindue
454,SDN 23 Sindue
455,SDN 24 Sindue
456,SDN 25 Sindue
457,TK Pembina Toaya
458,SLB Negeri Sindue
459,SKB SAKA PANDE DESA TOAYA
460,UPTD Kec. Sirenja
461,SDN 8 Sirenja
462,SDN 14 Sirenja
463,SDN 3 Sirenja
464,SDN 4 Sirenja
465,SDN 11 Sirenja
466,SDN 12 Sirenja
467,SDN 6 Sirenja
468,SDN 9 Sirenja
469,SDN 16 Sirenja
470,SDN 10 Sirenja
471,SDN 15 Sirenja
472,SDN 18 Sirenja
473,SDN 23 Sirenja
474,SDN 5 Sirenja
475,SDN 1 Sirenja
476,SDN 2 Sirenja
477,SDN 17 Sirenja
478,SDN 19 Sirenja
479,SDN 20 Sirenja
480,SDN 7 Sirenja
481,SDN 13 Sirenja
482,SDN 21 Sirenja
483,SDN 22 Sirenja
484,SDN 25 Sirenja
485,SDN 24 Sirenja
486,SMP Negeri 1 Sirenja
487,SMP Negeri 2 Sirenja
488,SMP Negeri 3 Sirenja
489,SMPN Satap 4 Sirenja
490,TK Negeri Pembina Desa Balintuma
491,UPTD Kec. Balaesang
492,SDN 8 Balaesang
493,SDN 9 Balaesang
494,SDN 14 Balaesang
495,SDN 20 Balaesang
496,SDN 2 Balaesang
497,SDN 10 Balaesang
498,SDN 17 Balaesang
499,SDN 18 Balaesang
500,SDN 25 Balaesang
501,SDN 3 Balaesang
502,SDN 13 Balaesang
503,SDN 23 Balaesang
504,SDN 24 Balaesang
505,SDN 4 Balaesang
506,SDN 12 Balaesang
507,SDN 19 Balaesang
508,SDN 22 Balaesang
509,SDN 5 Balaesang
510,SDN 11 Balaesang
511,SDN 6 Balaesang
512,SDN 15 Balaesang
513,SDN 21 Balaesang
514,SDN 7 Balaesang
515,SDN 16 Balaesang
516,SDN 26 Balaesang
517,SDN 27 Balaesang
518,SMP Negeri 1 Balaesang
519,SMP Negeri 2 Balaesang
520,SMP Negeri 3 Balaesang
521,SDN 1 Balaesang
522,SMP Negeri Terbuka 1 Balaesang
523,SMP Negeri Terbuka 2 Balaesang
524,SMP Negeri 4 Balaesang
525,SMPN Satap 5 Balaesang
526,SDN 28 Balaesang
527,SMPN Satap 6 Balaesang
528,SDN 1 Balaesang Tanjung
529,SDN 7 Balaesang Tanjung
530,SDN 11 Balaesang Tanjung
531,SDN 2 Balaesang Tanjung
532,SDN 3 Balaesang Tanjung
533,SDN 8 Balaesang Tanjung
534,SDN 9 Balaesang Tanjung
535,SDN 13 Balaesang Tanjung
536,SDN 14 Balaesang Tanjung
537,SDN 15 Balaesang Tanjung
538,SDN 4 Balaesang Tanjung
539,SDN 16 Balaesang Tanjung
540,SDN 6 Balaesang Tanjung
541,SDN 5 Balaesang Tanjung
542,SDN 12 Balaesang Tanjung
543,SDN 10 Balaesang Tanjung
544,SDN 17 Balaesang Tanjung
545,SDN 18 Balaesang Tanjung
546,SMPN 1 Balaesang Tanjung
547,SDN 19 Balaesang Tanjung
548,SDN 20 Balaesang Tanjung
549,SMPN Satap 2 Balaesang Tanjung
550,SMPN Satap 7 Balaesang Tanjung
551,SMPN Satap 5 Balaesang Tanjung
552,SMPN 7 BALAESANG TANJUNG
553,SMPN Satap 3 Balaesang Tanjung
554,SMPN Satap 4 Balaesang Tanjung
555,SMPN Satap 6 Balaesang Tanjung
556,UPTD Kec. Balaesang Tanjung
557,UPTD Kec. Dampelas
558,SDN 2 Dampelas
559,SDN 3 Dampelas
560,SDN 1 Dampelas
561,SDN 7 Dampelas
562,SDN 4 Dampelas
563,SDN 6 Dampelas
564,SDN 5 Dampelas
565,SDN 9 Dampelas
566,SDN 8 Dampelas
567,SDN 17 Dampelas
568,SDN 10 Dampelas
569,SDN 11 Dampelas
570,SDN 12 Dampelas
571,SDN 23 Dampelas
572,SDN 18 Dampelas
573,SDN 33 Dampelas
574,SDN 15 Dampelas
575,SDN 26 Dampelas
576,SDN 13 Dampelas
577,SDN 14 Dampelas
578,SDN 24 Dampelas
579,SDN 20 Dampelas
580,SDN 16 Dampelas
581,SDN 22 Dampelas
582,SDN 21 Dampelas
583,SDN 19 Dampelas
584,SDN 27 Dampelas
585,SDN 25 Dampelas
586,SDN 28 Dampelas
587,SMP Negeri 1 Dampelas
588,SMP Negeri 2 Dampelas
589,SMP Negeri 3 Dampelas
590,SMP Negeri 4 Dampelas
591,SMP Negeri 5 Dampelas
592,SMP Negeri 6 Dampelas
593,SD Inpres 1 Bayang
